doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,9,,"INDUSTRI SEMEN, KERAMIK, DAN PENGOLAHAN BAHAN GALIAN NONLOGAM - Papan Gypsum - Pewarna Keramik",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,10,,"INDUSTRI TEKSTIL, KULIT, DAN ALAS KAKI - Industri Serat - Industri Tekstil Lainnya",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,11,,"INDUSTRI KECIL DAN MENENGAH KIMIA, SANDANG, KERAJINAN DAN INDUSTRI ANEKA",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,12,,"INDUSTRI SEDIAAN FARMASI - Industri Obat Tradisional - Industri Suplemen Kesehatan - Industri Kosmetika MENTERI PERDAGANGAN REPUBLIK INDONESIA, ttd. AGUS SUPARMANTO LAMPIRAN II PERATURAN MENTERI PERDAGANGAN REPUBLIK INDONESIA NOMOR 59 TAHUN 2020 TENTANG PERUBAHAN ATAS PERATURAN MENTERI PERDAGANGAN NOMOR 118/M-DAG/PER/12/2015 TENTANG KETENTUAN IMPOR BARANG KOMPLEMENTER, BARANG UNTUK KEPERLUAN TES PASAR, DAN PELAYANAN PURNA JUAL DAFTAR SEKTOR/SUBSEKTOR YANG DAPAT MENGIMPOR BARANG MANUFAKTUR, DAN BARANG MANUFAKTUR YANG DAPAT DIIMPOR UNTUK KEPERLUAN TES PASAR",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,1,,"INDUSTRI MARITIM, ALAT TRANSPORTASI, DAN ALAT PERTAHANAN - Industri Perakitan Kendaraan Bermotor - Industri Komponen Kendaraan Bermotor",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,2,,INDUSTRI ELEKTRONIKA DAN TELEMATIKA - Elektronika dan Telematika,
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,3,,INDUSTRI KIMIA HULU - Produk Industri Kimia Hulu,
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,4,,"INDUSTRI KIMIA HILIR DAN FARMASI - Karet dan Plastik Hilir - Cat, Kimia Pembersih dan pelumas - Farmasi - Disinfektan - Alat Pelindung Diri dan Masker",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,5,,"INDUSTRI TEKSTIL, KULIT, DAN ALAS KAKI - Industri Serat - Industri Kain - Industri Pakaian Jadi - Industri Tekstil Lainnya",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,6,,INDUSTRI HASIL HUTAN DAN PERKEBUNAN - Industri Kertas dan Barang dari Kertas,
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,7,,"INDUSTRI MINUMAN, HASIL TEMBAKAU, DAN BAHAN PENYEGAR - Industri Pengolahan Susu Segar dan Krim - Industri Pengolahan Susu Bubuk dan Susu Kental - Industri Pengolahan Es Krim - Industri Pengolahan Produk dari Susu Lainnya - Industri Kakao - Industri Makanan dari Coklat dan Kembang Gula - Industri Pengolahan Kopi - Industri Pengolahan Teh - Industri Makanan Bayi - Industri Krimer Nabati - Industri Minuman Ringan - Industri Air Minum dan Air Mineral - Industri Rokok Putih - Industri Rokok Lainnya",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,8,,"INDUSTRI MAKANAN, HASIL LAUT, DAN PERIKANAN - Industri Bumbu Masak dan Penyedap Masakan - Industri Tepung Beras dan Tepung Jagung - Industri Ransum Makanan Hewan - Industri Produk Roti dan Kue - Industri Kimia Dasar Organik yang bersumber dari Hasil Pertanian - Industri makanan bayi - Industri makanan sereal - Industri makanan dari coklat dan kembang gula - Industri Minyak Mentah dan Lemak Nabati - Industri pengolahan gula lainnya bukan sirop - Industri Kembang Gula dan lainnya MENTERI PERDAGANGAN REPUBLIK INDONESIA, ttd. AGUS SUPARMANTO LAMPIRAN III PERATURAN MENTERI PERDAGANGAN REPUBLIK INDONESIA NOMOR 59 TAHUN 2020 TENTANG PERUBAHAN ATAS PERATURAN MENTERI PERDAGANGAN NOMOR 118/M-DAG/PER/12/2015 TENTANG KETENTUAN IMPOR BARANG KOMPLEMENTER, BARANG UNTUK KEPERLUAN TES PASAR, DAN PELAYANAN PURNA JUAL DAFTAR SEKTOR/SUBSEKTOR YANG DAPAT MENGIMPOR BARANG MANUFAKTUR, DAN BARANG MANUFAKTUR YANG DAPAT DIIMPOR UNTUK KEPERLUAN PELAYANAN PURNA JUAL",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,1,,"INDUSTRI MARITIM, ALAT TRANSPORTASI, DAN ALAT PERTAHANAN - Industri Perakitan Kendaraan Bermotor - Industri Komponen Kendaraan Bermotor",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,2,,INDUSTRI ELEKTRONIKA DAN TELEMATIKA - Elektronika dan Telematika,
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,3,,INDUSTRI PERMESINAN DAN ALAT MESIN PERTANIAN - Industri Alat/Mesin Pertanian - Industri Mesin/Peralatan Pabrik - Industri Alat Berat - Industri Mesin Perkakas,
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,4,,INDUSTRI KIMIA HILIR DAN FARMASI - Karet dan Plastik Hilir,
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,5,,"INDUSTRI ALAT KESEHATAN - Industri Ventilator - Industri Komponen Ventilator MENTERI PERDAGANGAN REPUBLIK INDONESIA, ttd. AGUS SUPARMANTO Dengan Rahmat Tuhan Yang Maha Esa",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,1,,"Bahwa untuk melaksanakan ketentuan dalam Peraturan Menteri Perdagangan Nomor 118/M-DAG/PER/12/2015 tentang Ketentuan Impor Barang Komplementer, Barang untuk Keperluan Tes Pasar, dan Pelayanan Purna Jual, perlu dilakukan perubahan;",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,2,,"Bahwa perubahan ketentuan tersebut diperlukan untuk meningkatkan efektivitas dan efisiensi dalam pelaksanaan impor barang komplementer, barang untuk keperluan tes pasar, dan pelayanan purna jual;",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,3,,"Bahwa berdasarkan pertimbangan tersebut, perlu menetapkan Peraturan Menteri Perdagangan tentang Perubahan atas Peraturan Menteri Perdagangan Nomor 118/M-DAG/PER/12/2015 tentang Ketentuan Impor Barang Komplementer, Barang untuk Keperluan Tes Pasar, dan Pelayanan Purna Jual. g. Peraturan Menteri Perdagangan Nomor 48/M-DAG/PER/7/2015 tentang Ketentuan Umum di Bidang Impor (Berita Negara Republik Indonesia Tahun 2015 Nomor 1006); h. Peraturan Menteri Perdagangan Nomor 118/M-DAG/PER/12/2015 tentang Ketentuan Impor Barang Komplementer, Barang untuk Keperluan Tes Pasar, dan Pelayanan Purna Jual (Berita Negara Republik Indonesia Tahun 2015 Nomor 2001); i. Peraturan Menteri Perdagangan Nomor 08/M-DAG/PER/2/2016 tentang Organisasi dan Tata Kerja Kementerian Perdagangan (Berita Negara Republik Indonesia Tahun 2016 Nomor 202); j. Peraturan Menteri Perdagangan Nomor 75 Tahun 2018 tentang Angka Pengenal Importir (Berita Negara Republik Indonesia Tahun 2018 Nomor 936). Menetapkan: PERATURAN MENTERI PERDAGANGAN TENTANG PERUBAHAN ATAS PERATURAN MENTERI PERDAGANGAN NOMOR 118/M-DAG/PER/12/2015 TENTANG KETENTUAN IMPOR BARANG KOMPLEMENTER, BARANG UNTUK KEPERLUAN TES PASAR, DAN PELAYANAN PURNA JUAL. Pasal I Beberapa ketentuan dalam Peraturan Menteri Perdagangan Nomor 118/M-DAG/PER/12/2015 tentang Ketentuan Impor Barang Komplementer, Barang untuk Keperluan Tes Pasar, dan Pelayanan Purna Jual (Berita Negara Republik Indonesia Tahun 2015 Nomor 2001) diubah sebagai berikut:",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,1,,"Di antara angka 2 dan angka 3 Pasal 1 disisipkan 1 (satu) angka, yakni angka 2a, angka 9 dihapus, dan ditambahkan 1 (satu) angka, yakni angka 12, sehingga Pasal 1 berbunyi sebagai berikut: Dalam Peraturan Menteri ini yang dimaksud dengan:",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 1,1,,"Barang adalah setiap benda, baik berwujud maupun tidak berwujud, baik bergerak maupun tidak bergerak, baik dapat dihabiskan maupun tidak dapat dihabiskan, dan dapat diperdagangkan, dipakai, digunakan, atau dimanfaatkan oleh konsumen atau pelaku usaha.",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 1,2,,Impor adalah kegiatan memasukkan barang ke dalam daerah pabean.,
