doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC503,kp49-1988.txt,,,Pasal 1,,1,"Pajak Pertambahan Nilai tidak dipungut terhadap impor bentukan (""moulds"") dan acuan (""dies"") tertentu serta wadah/tahang/kemasan untuk barang ekspor.",
DOC503,kp49-1988.txt,,,Pasal 1,,2,"Penentuan jenis dan bentuk bentukan (""moulds"") dan acuan (""dies"") tertentu serta wadah/tahang/kemasan untuk barang ekspor sebagaimana dimaksud dalam ayat (1) ditetapkan oleh Menteri Keuangan. Pelaksanaan Keputusan Presiden ini diatur lebih lanjut oleh Menteri Keuangan. Keputusan Presiden ini mulai berlaku pada tanggal diundangkan. Agar setiap orang mengetahuinya, memerintahkan pengundangan Keputusan Presiden ini dengan penempatannya dalam Lembaran Negara Republik Indonesia. PRESIDEN REPUBLIK INDONESIA ttd SOEHARTO Diundangkan di Jakarta pada tanggal 21 Nopember 1988 MENTERI/SEKRETARIS NEGARA REPUBLIK INDONESIA ttd MOERDIONO LEMBARAN NEGARA REPUBLIK INDONESIA TAHUN 1988 NOMOR 40",
