doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC037,Keputusan_Presiden_no_53 TH 1993.txt,,,Pasal 2,,1,Penetapan suatu tempat atau bangunan sebagai EPTE dilakukan oleh Menteri Keuangan. (2) Tata cara dan persyaratan untuk dapat ditetapkan sebagai EPTE diatur oleh Menteri Keuangan. Pengusahaan terhadap EPTE dilakukan oleh perusahaan industri yang memiliki atau menguasai tempat dan bangunan yang ditetapkan sebagai EPTE.,
DOC037,Keputusan_Presiden_no_53 TH 1993.txt,,,Pasal 4,,1,"Atas impor barang modal, barang dan/atau bahan dari luar daerah pabean ke dalam EPTE tidak dilakukan Pemeriksaan Pra Pengapalan. (2) Pemeriksaan barang-barang sebagaimana dimaksud dalam ayat (1) dilaksanakan oleh Direktorat Jenderal Bea dan Cukai di gudang EPTE. Atas impor sebagaimana dimaksud dalam Pasal 4 ayat (1) tidak dipungut Bea Masuk dan Bea Masuk Tambahan, cukai, dan Pajak Penghasilan Pasal 22, diberikan penangguhan Pajak Pertambahan Nilai (PPN) dan Pajak Penjualan Atas Barang Mewah (PPn BM), serta tidak dikenakan ketentuan Tata Niaga Impor. Penyerahan Barang Kena Pajak antar EPTE tidak terutang PPN dan PPn BM.",
DOC037,Keputusan_Presiden_no_53 TH 1993.txt,,,Pasal 7,,1,"Pemeriksaan atas komoditi ekspor dari EPTE dilaksanakan oleh Direktorat Jenderal Bea dan Cukai. (2) Verifikasi atas penggunaan barang modal dan barang dan/atau bahan yang digunakan dalam pembuatan komoditi ekspor sebagaimana dimaksud dalam ayat (1) dilaksanakan oleh Direktorat Jenderal Bea dan Cukai. Pelanggaran atas ketentuan dalam Keputusan Presiden ini mengakibatkan fasilitas dan/atau kemudahan yang diberikan batal dan semua pajak negara/pungutan-pungutan yang terkait, menjadi terutang dan ditagih disertai dengan denda sebesar 100% (seratus persen). Ketentuan lebih lanjut Keputusan Presiden ini diatur oleh Menteri Keuangan dan Menteri Perdagangan baik secara bersama-sama maupun sendiri-sendiri sesuai dengan kewenangan masing-masing. Keputusan Presiden ini mulai berlaku pada tanggal diundangkan. Agar setiap orang mengetahuinya, memerintahkan pengundangan Keputusan Presiden ini dengan penempatannya dalam Lembaran Negara Republik Indonesia.",
